date,temp_max,temp_min
2015-08-01,29.4,25.4
2015-08-02,31.2,25.5
2015-08-03,33.0,25.7
2015-08-04,33.0,25.7
2015-08-05,32.3,25.7
2015-08-06,32.0,26.1
2015-08-07,32.2,25.9
2015-08-08,27.5,24.7
2015-08-09,28.4,24.4
2015-08-10,31.2,25.5
2015-08-11,29.4,25.6
2015-08-12,31.7,25.8
2015-08-13,33.1,26.2
2015-08-14,32.0,26.0
2015-08-15,30.4,26.3
2015-08-16,29.9,25.4
2015-08-17,32.7,25.1
2015-08-18,33.6,26.0
2015-08-19,33.0,25.8
2015-08-20,32.0,26.7
2015-08-21,31.8,25.7
2015-08-22,31.3,25.2
2015-08-23,32.5,24.5
2015-08-24,32.9,25.4
2015-08-25,33.7,26.4
2015-08-26,33.9,26.6
2015-08-27,33.3,26.3
2015-08-28,33.4,25.1
2015-08-29,33.9,26.5
2015-08-30,34.3,26.1
2015-08-31,34.3,26.4
2015-09-01,34.5,25.6
2015-09-02,33.8,25.5
2015-09-03,34.4,25.2
2015-09-04,34.8,24.0
2015-09-05,34.8,23.2
2015-09-06,34.8,23.3
2015-09-07,34.7,24.2
2015-09-08,35.1,23.0
2015-09-09,35.4,23.8
2015-09-10,35.9,22.1
2015-09-11,35.4,21.9
2015-09-12,34.9,22.6
2015-09-13,35.4,25.1
2015-09-14,36.3,24.1
2015-09-15,35.5,24.5
2015-09-16,35.0,25.7
2015-09-17,34.4,24.7
2015-09-18,33.4,26.7
2015-09-19,32.5,24.6
2015-09-20,33.7,26.1
2015-09-21,32.0,25.3
2015-09-22,32.1,25.2
2015-09-23,30.5,24.0
2015-09-24,31.2,23.9
2015-09-25,31.3,22.4
2015-09-26,32.5,22.3
2015-09-27,33.2,22.4
2015-09-28,32.5,21.5
2015-09-29,33.0,19.9
2015-09-30,33.2,20.4
2015-10-01,33.2,19.6
2015-10-02,34.1,18.4
2015-10-03,35.0,19.7
2015-10-04,35.5,20.2
2015-10-05,35.3,20.5
2015-10-06,34.9,20.6
2015-10-07,34.5,22.1
2015-10-08,34.9,22.3
2015-10-09,35.6,21.0
2015-10-10,36.3,21.3
2015-10-11,35.5,22.1
2015-10-12,34.0,21.2
2015-10-13,32.7,23.6
2015-10-14,32.9,22.3
2015-10-15,32.1,21.3
2015-10-16,32.9,21.8
2015-10-17,33.4,21.5
2015-10-18,33.1,22.4
2015-10-19,34.1,21.9
2015-10-20,34.0,21.3
2015-10-21,32.6,20.3
2015-10-22,31.8,18.3
2015-10-23,31.6,17.0
2015-10-24,31.5,18.8
2015-10-25,32.0,19.9
2015-10-26,30.8,19.4
2015-10-27,29.9,18.2
2015-10-28,27.4,17.0
2015-10-29,26.5,14.9
2015-10-30,27.6,15.5
2015-10-31,28.2,16.2
2015-11-01,29.2,18.1
2015-11-02,29.2,17.0
2015-11-03,28.4,17.9
2015-11-04,28.8,17.6
2015-11-05,27.7,19.6
2015-11-06,27.7,19.3
2015-11-07,27.9,17.3
2015-11-08,28.4,18.3
2015-11-09,28.5,17.6
2015-11-10,28.9,17.6
2015-11-11,28.5,17.0
2015-11-12,28.7,16.9
2015-11-13,29.6,16.4
2015-11-14,29.7,17.9
2015-11-15,29.5,16.1
2015-11-16,28.7,18.2
2015-11-17,27.5,14.6
2015-11-18,26.9,11.3
2015-11-19,26.7,12.1
2015-11-20,26.6,12.2
2015-11-21,26.5,12.2
2015-11-22,26.5,12.2
2015-11-23,26.6,11.4
2015-11-24,27.3,12.5
2015-11-25,27.6,14.2
2015-11-26,27.1,12.6
2015-11-27,24.6,13.7
2015-11-28,24.8,16.4
2015-11-29,26.1,13.5
2015-11-30,27.0,16.1
2015-12-01,26.8,15.5
2015-12-02,25.1,15.7
2015-12-03,24.6,12.4
2015-12-04,25.5,13.1
2015-12-05,25.2,11.0
2015-12-06,25.1,12.3
2015-12-07,24.7,12.0
2015-12-08,25.3,13.9
2015-12-09,23.9,12.8
2015-12-10,25.4,14.2
2015-12-11,23.1,13.2
2015-12-12,19.8,10.0
2015-12-13,19.8,9.2
2015-12-14,20.2,8.4
2015-12-15,21.0,8.1
2015-12-16,20.2,5.4
2015-12-17,20.0,6.3
2015-12-18,20.5,7.3
2015-12-19,20.5,7.5
2015-12-20,20.0,7.4
2015-12-21,19.6,6.3
2015-12-22,19.8,7.3
2015-12-23,19.5,6.2
2015-12-24,19.0,8.1
2015-12-25,19.3,6.1
2015-12-26,21.1,7.8
2015-12-27,22.2,9.3
2015-12-28,23.7,12.2
2015-12-29,23.4,12.2
2015-12-30,23.9,10.0
2015-12-31,23.1,8.7
2016-01-01,22.3,9.3
2016-01-02,22.0,7.3
2016-01-03,22.6,8.7
2016-01-04,22.9,8.4
2016-01-05,24.5,12.5
2016-01-06,24.2,13.0
2016-01-07,24.1,11.8
2016-01-08,23.1,12.2
2016-01-09,21.8,10.7
2016-01-10,22.5,9.1
2016-01-11,23.0,9.9
2016-01-12,23.9,10.2
2016-01-13,21.8,10.9
2016-01-14,19.3,9.6
2016-01-15,18.8,8.5
2016-01-16,18.7,8.8
2016-01-17,18.4,7.6
2016-01-18,18.5,7.1
2016-01-19,18.6,7.1
2016-01-20,17.5,7.2
2016-01-21,17.8,6.0
2016-01-22,18.2,4.8
2016-01-23,19.4,5.9
2016-01-24,18.7,6.5
2016-01-25,17.1,5.0
2016-01-26,19.6,7.2
2016-01-27,22.2,10.3
2016-01-28,22.6,9.4
2016-01-29,24.0,11.4
2016-01-30,25.5,13.7
2016-01-31,22.1,12.8
2016-02-01,22.1,9.7
2016-02-02,20.9,7.4
2016-02-03,21.5,8.3
2016-02-04,22.3,8.3
2016-02-05,22.8,6.9
2016-02-06,23.1,7.1
2016-02-07,19.6,12.1
2016-02-08,21.7,8.6
2016-02-09,22.9,9.5
2016-02-10,23.4,9.1
2016-02-11,24.7,12.2
2016-02-12,24.2,9.4
2016-02-13,22.0,11.8
2016-02-14,23.6,9.3
2016-02-15,22.3,9.4
2016-02-16,23.3,8.9
2016-02-17,25.6,11.0
2016-02-18,27.0,14.7
2016-02-19,28.8,17.0
2016-02-20,25.9,18.1
2016-02-21,25.4,14.6
2016-02-22,26.1,13.0
2016-02-23,26.9,12.4
2016-02-24,26.7,11.3
2016-02-25,27.3,11.4
2016-02-26,27.4,13.7
2016-02-27,27.3,12.1
2016-02-28,28.0,14.9
2016-02-29,28.0,15.0
2016-03-01,28.6,16.1
2016-03-02,30.5,15.6
2016-03-03,31.4,15.9
2016-03-04,31.9,16.2
2016-03-05,29.8,17.0
2016-03-06,25.9,16.0
2016-03-07,27.7,15.0
2016-03-08,27.6,16.3
2016-03-09,28.0,14.9
2016-03-10,29.7,15.1
2016-03-11,30.9,18.0
2016-03-12,28.4,17.5
2016-03-13,27.2,16.3
2016-03-14,25.1,16.2
2016-03-15,27.3,14.4
2016-03-16,27.6,14.0
2016-03-17,29.8,16.3
2016-03-18,29.3,18.6
2016-03-19,30.7,17.7
2016-03-20,31.4,18.1
2016-03-21,30.5,17.5
2016-03-22,29.8,16.2
2016-03-23,31.9,16.2
2016-03-24,33.4,16.3
2016-03-25,34.7,17.1
2016-03-26,32.3,18.7
2016-03-27,31.7,18.4
2016-03-28,31.7,16.6
2016-03-29,32.0,18.1
2016-03-30,34.4,17.9
2016-03-31,36.3,19.2
2016-04-01,36.5,21.9
2016-04-02,37.6,21.4
2016-04-03,38.5,24.3
2016-04-04,37.1,23.3
2016-04-05,35.9,21.5
2016-04-06,35.1,22.5
2016-04-07,34.8,19.8
2016-04-08,34.8,17.8
2016-04-09,36.3,20.2
2016-04-10,36.3,24.0
2016-04-11,34.9,21.2
2016-04-12,34.5,21.2
2016-04-13,36.7,22.7
2016-04-14,38.5,22.7
2016-04-15,39.8,22.4
2016-04-16,41.0,24.5
2016-04-17,39.7,26.5
2016-04-18,38.5,26.3
2016-04-19,37.8,25.7
2016-04-20,38.8,23.7
2016-04-21,38.9,24.9
2016-04-22,38.6,24.3
2016-04-23,36.7,22.6
2016-04-24,37.1,19.2
2016-04-25,38.1,21.0
2016-04-26,38.5,21.5
2016-04-27,39.7,22.0
2016-04-28,39.6,22.1
2016-04-29,39.4,22.3
2016-04-30,39.9,21.0
2016-05-01,41.2,23.3
2016-05-02,42.5,24.9
2016-05-03,38.0,27.5
2016-05-04,38.9,24.8
2016-05-05,34.6,24.8
2016-05-06,34.1,23.6
2016-05-07,36.0,24.6
2016-05-08,37.2,25.4
2016-05-09,38.8,26.2
2016-05-10,38.0,26.6
2016-05-11,37.0,26.6
2016-05-12,39.0,25.4
2016-05-13,41.0,27.9
2016-05-14,41.2,27.4
2016-05-15,42.3,26.6
2016-05-16,42.7,26.6
2016-05-17,42.7,26.3
2016-05-18,43.1,25.6
2016-05-19,41.6,27.7
2016-05-20,40.2,29.4
2016-05-21,41.1,27.3
2016-05-22,42.1,28.2
2016-05-23,40.9,26.1
2016-05-24,38.0,26.5
2016-05-25,39.4,25.2
2016-05-26,39.8,25.4
2016-05-27,40.9,28.5
2016-05-28,40.4,28.9
2016-05-29,36.2,26.9
2016-05-30,33.0,24.0
2016-05-31,38.1,25.1
2016-06-01,40.2,27.0
2016-06-02,41.0,28.1
2016-06-03,41.8,26.5
2016-06-04,42.4,27.7
2016-06-05,40.8,29.0
2016-06-06,40.0,29.3
2016-06-07,39.6,29.2
2016-06-08,40.5,28.9
2016-06-09,40.2,28.7
2016-06-10,41.6,29.2
2016-06-11,39.4,28.9
2016-06-12,38.9,27.0
2016-06-13,40.2,29.3
2016-06-14,37.5,26.9
2016-06-15,36.7,28.5
2016-06-16,36.8,28.0
2016-06-17,37.5,27.1
2016-06-18,36.4,26.4
2016-06-19,36.3,28.9
2016-06-20,36.5,29.2
2016-06-21,36.2,27.7
2016-06-22,35.2,26.7
2016-06-23,37.7,27.8
2016-06-24,38.8,28.6
2016-06-25,38.9,29.9
2016-06-26,36.5,27.3
2016-06-27,37.0,27.0
2016-06-28,34.2,26.2
2016-06-29,36.1,27.1
2016-06-30,37.8,27.9
2016-07-01,36.0,27.2
2016-07-02,30.7,26.0
2016-07-03,30.2,25.4
